# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
21.06	1.05295	0.11559	1.05113	1.05469	0.11414	0.11705
21.08	1.05239	0.1129	1.05063	1.05409	0.11154	0.11437
21.1	1.05163	0.10976	1.04994	1.05324	0.10834	0.11123
21.12	1.05062	0.10691	1.04905	1.0522	0.1055	0.10823
21.14	1.04924	0.10408	1.04773	1.05081	0.1027	0.10538
21.16	1.04766	0.1017	1.04613	1.04908	0.10039	0.10311
21.18	1.04561	0.09902	1.04421	1.04698	0.09779	0.10026
21.2	1.04349	0.09696	1.04213	1.04483	0.09577	0.09816
21.22	1.04127	0.09496	1.03994	1.04257	0.09382	0.09605
21.24	1.03882	0.09329	1.0374	1.04005	0.09218	0.09438
21.26	1.03634	0.09212	1.03507	1.03761	0.09099	0.09326
21.28	1.03398	0.09139	1.03269	1.03528	0.09026	0.09254
21.3	1.03157	0.09011	1.03036	1.03277	0.08912	0.09108
21.32	1.0292	0.08959	1.02797	1.03035	0.08857	0.09061
21.34	1.02702	0.089	1.02594	1.02821	0.08798	0.08998
21.36	1.02481	0.08854	1.02366	1.02601	0.08757	0.08952
21.38	1.02277	0.08837	1.02161	1.0239	0.08738	0.08931
21.4	1.02084	0.08826	1.0196	1.02198	0.08735	0.08924
21.42	1.01879	0.08783	1.01764	1.01996	0.08693	0.08878
21.44	1.01699	0.08773	1.0159	1.01816	0.08683	0.08866
21.46	1.01531	0.08766	1.01414	1.01641	0.08672	0.08858
21.48	1.01358	0.08768	1.01252	1.01475	0.08681	0.08858
21.5	1.01197	0.08771	1.0108	1.01304	0.08682	0.08859
21.52	1.0105	0.08796	1.0093	1.01171	0.08707	0.08889
21.54	1.00885	0.0877	1.00773	1.01	0.08678	0.0886
21.56	1.00743	0.0879	1.00635	1.0085	0.08698	0.08876
21.58	1.00609	0.08785	1.00504	1.00727	0.087	0.08874
21.6	1.0047	0.08789	1.00363	1.00579	0.08701	0.08875
21.62	1.00336	0.08806	1.00224	1.00446	0.08719	0.08887
21.64	1.00231	0.08836	1.00107	1.00344	0.08741	0.08923
21.66	1.00107	0.08827	0.99994	1.00218	0.0874	0.08911
21.68	0.99987	0.08849	0.99876	1.00097	0.08762	0.08935
21.7	0.99886	0.08846	0.99777	1.00004	0.08768	0.08937
21.72	0.99774	0.08867	0.99662	0.99888	0.08779	0.0895
21.74	0.99673	0.08893	0.99566	0.99786	0.08808	0.08976
21.76	0.9958	0.08922	0.99457	0.99702	0.08836	0.09005
